komentar;value;clean_text;sentiment;sentiment_label
Setelah Update 2.9 Saya kira Bug yang pernah saya keluhkan sudah di fix.. Tapi ternyata belum sampe sekarang :| Tolong pihak developer agar segera di Fix masalah run yang slow banget dan harus reload/exit dari game baru bisa kembali kayak semula, kita sebagai player merasa terganggu sekali dengan bug2 nya.;3;update 29 bug keluhkan fix sampe tolong developer fix run slow banget reloadexit game kayak player terganggu bug2 nya;0;netral
Setelah ubdate 2.9 harus nya bug sudah hilang. Kenapa kok masih ada bugnya di map livik tanpa event. Bug tidak bisa jalan, jalannya kayak siput harus reload baru bisa jalan. Tolong lah di perbaiki bug di map livik tanpa event. Terima kasih;1;ubdate 29 nya bug hilang bugnya map livik event bug jalan jalannya kayak siput reload jalan tolong perbaiki bug map livik event terima kasih;0;netral
Parah sangat parah, setelah di update bug dimana mna. Dari yang ga bisa lari, karakter stuck, Senjata hilang. Bahkan sinyal tidak stabil. Sebelum update ping aman di 20ms stabil, setelah update? karakter saya ngeblink ngeblink, segitu parah sinyal nya loncat dari 20ms ke 100ms bahkan sampai 200ms, dan itu begitu terus sampai game selesai. parah.;2;parah parah update bug dimana mna ga lari karakter stuck senjata hilang sinyal stabil update ping aman 20ms stabil update karakter ngeblink ngeblink segitu parah sinyal nya loncat 20ms 100ms 200ms game selesai parah;-25;netral
setelah update 2.9 game playnya makin aneh banyak bug contoh : setiap turun dar pesawat even tidak langsung muncul nunggu beberapa detik, tidak bisa lari dan jalannya lambat seperti siput. jadi tolong secepatnya di perbaiki atau tidak ganti developer ke tencen lagi;1;update 29 game playnya aneh bug contoh turun dar pesawat even langsung muncul nunggu detik lari jalannya lambat siput tolong secepatnya perbaiki ganti developer tencen;0;netral
setelah update patch versi 2.9.0 sekarang banyak bug (bug mic, bug stuck di loading match), padahal di patch sebelumnya aman-aman aja dan bisa dibilang enak walau kadang fps-nya naik turun. Tapi tolong banget untuk perbaikan BUG mic nya dan BUG stuck loading match nya tolong diperbaiki!;1;update patch versi 290 bug bug mic bug stuck loading match patch amanaman aja dibilang enak kadang fpsnya turun tolong banget perbaikan bug mic nya bug stuck loading match nya tolong diperbaiki;-4588;netral
"Saya sangat kecewa dengan update terbaru...banyak sekali bug dan saat matching menunggu terlalu lama, bahkan sampai setengah jm belum juga masuk pertempuran... Apa ga ada lagi yg main pubg sampai"" mencari laga selama ituu.. Tolong perbaikannya";1;kecewa update terbarubanyak bug matching menunggu jm masuk pertempuran ga main pubg mencari laga ituu tolong perbaikannya;0;netral
Event nya selalu low respon padahal tidak ada masalah jaringan ,device saya juga mendukung tapi tetap hasilnya tidak ada beda ,tolong diperbaiki, saya mengeluarkan uang untuk game ini!. Sebaiknya event yang menambahkan karakter atau icon (bangunan) pada map di hapus saja karena ini mengganggu keaslian map dan tetap menimbulkan problem. Device tidak menentukan permainan bagus!;1;event nya low respon jaringan device mendukung hasilnya beda tolong diperbaiki mengeluarkan uang game event karakter icon bangunan map hapus mengganggu keaslian map menimbulkan problem device menentukan permainan bagus;-5859;netral
Bagus, bagus banget malah. Tapi ada satu kendala dimana saat bermain di map nusa selalu aja ngeframe padahal jaringan bagus. Dugaan saya sih karena texture dan grafik di map nusa terlalu hd saran saya dikurangin lah supaya lebih optimal. Iya, saya tahu pihak developer ingin berusaha membuat map dengan nuansa Bali dan dengan panorama yg indah tapi setidaknya dikurangin dikit aja supaya optimal Ohh ya kalo udah dibenerin saya naikin deh ratingnya??????;2;bagus bagus banget kendala dimana bermain map nusa aja ngeframe jaringan bagus dugaan sih texture grafik map nusa hd saran dikurangin optimal iya developer berusaha map nuansa bali panorama indah dikurangin dikit aja optimal ohh ya kalo udah dibenerin naikin deh ratingnya;6124;netral
Mohon dapat di perhatikan pada sisi bug yang terjadi di saat war terjadi beberapa framing yg membuat bug suara dan bug switch senjata sehingga gameplay nya menjadi kurang nyaman,, Mendukung nya internet dan lingkungan baik terkait jaringan internet mengapa sering terjadi hal yg kurang nyaman bagi kami player... Trim's;5;mohon perhatikan sisi bug war framing bug suara bug switch senjata gameplay nya nyaman mendukung nya internet lingkungan terkait jaringan internet nyaman player trims;-5994;netral
Setelah update versinya terbaru sekarang ada beberapa ngebug yang harus di perhatikan, 1.nge bug kadang-kadang ngak bisa nembak. 2.mic nya aktif tapi ngak ada suara. 3.ngak isa masuk pertempuran padahal jaringan nya ok² aja tidak ada masalah. Tolong di perhatikan bayak bug-bug yang terjadi setelah update versi terbaru??;5;update versinya terbaru ngebug perhatikan 1nge bug kadangkadang ngak nembak 2mic nya aktif ngak suara 3ngak isa masuk pertempuran jaringan nya ok² aja tolong perhatikan bayak bugbug update versi terbaru;0;netral
