komentar;value
Parah sangat parah, setelah di update bug dimana mna. Dari yang ga bisa lari, karakter stuck, Senjata hilang. Bahkan sinyal tidak stabil. Sebelum update ping aman di 20ms stabil, setelah update? karakter saya ngeblink ngeblink, segitu parah sinyal nya loncat dari 20ms ke 100ms bahkan sampai 200ms, dan itu begitu terus sampai game selesai. parah.;2
Setelah Update 2.9 Saya kira Bug yang pernah saya keluhkan sudah di fix.. Tapi ternyata belum sampe sekarang :| Tolong pihak developer agar segera di Fix masalah run yang slow banget dan harus reload/exit dari game baru bisa kembali kayak semula, kita sebagai player merasa terganggu sekali dengan bug2 nya.;3
Setelah ubdate 2.9 harus nya bug sudah hilang. Kenapa kok masih ada bugnya di map livik tanpa event. Bug tidak bisa jalan, jalannya kayak siput harus reload baru bisa jalan. Tolong lah di perbaiki bug di map livik tanpa event. Terima kasih;1
setelah update patch versi 2.9.0 sekarang banyak bug (bug mic, bug stuck di loading match), padahal di patch sebelumnya aman-aman aja dan bisa dibilang enak walau kadang fps-nya naik turun. Tapi tolong banget untuk perbaikan BUG mic nya dan BUG stuck loading match nya tolong diperbaiki!;1
setelah update 2.9 game playnya makin aneh banyak bug contoh : setiap turun dar pesawat even tidak langsung muncul nunggu beberapa detik, tidak bisa lari dan jalannya lambat seperti siput. jadi tolong secepatnya di perbaiki atau tidak ganti developer ke tencen lagi;1
Ini game nya kok ngebug nya selalu layarnya hitam,dan karakternya jalannya cacat kalo jalan itu lambat gak kayak biasanya tolong ya di perbaiki lagi karena ini sangat menggangu tolong segera di tangani ya saya malas bermain kalau begitu lagi.;1
"di update kali ini parah banget sinyal sama jaringan bagus tapi pas di in game apa lagi saat rush ke musuh tiba"" ping tinggi ditambah lag yg ga tau apa sebabnya, pokoknya parah banget deh, pliss lah di perbaiki masalah sinyal ini sumpah ganggu banget";1
Mohon dapat di perhatikan pada sisi bug yang terjadi di saat war terjadi beberapa framing yg membuat bug suara dan bug switch senjata sehingga gameplay nya menjadi kurang nyaman,, Mendukung nya internet dan lingkungan baik terkait jaringan internet mengapa sering terjadi hal yg kurang nyaman bagi kami player... Trim's;5
"Saya sangat kecewa dengan update terbaru...banyak sekali bug dan saat matching menunggu terlalu lama, bahkan sampai setengah jm belum juga masuk pertempuran... Apa ga ada lagi yg main pubg sampai"" mencari laga selama ituu.. Tolong perbaikannya";1
Please lah buat bug voice nya di benerin lagi...contoh pas kita ngomong tim kita ga denger dan suara kita ga ada...and begitu juga dengan tim kita yang ngomong, kadang suka ga dengar suara tim...jadi di situ bisa merusak game play karna hilang nya komunikasi;5
Bagus, bagus banget malah. Tapi ada satu kendala dimana saat bermain di map nusa selalu aja ngeframe padahal jaringan bagus. Dugaan saya sih karena texture dan grafik di map nusa terlalu hd saran saya dikurangin lah supaya lebih optimal. Iya, saya tahu pihak developer ingin berusaha membuat map dengan nuansa Bali dan dengan panorama yg indah tapi setidaknya dikurangin dikit aja supaya optimal Ohh ya kalo udah dibenerin saya naikin deh ratingnya??????;2
"Pubg sekarang sangat membosankan Di karenakan banyak sekali yg harus di download dan bug""nya di pubg tidak di perbaiki makin banyak Percuma kalau di sebut intinya sering bug dan sering kayak bot kalo di paksa lari tidak bisa, meskipun sudah kita reload berulang"" supaya tidak bug lari lambat tapi sama saja tidak bisa";1
Game nya sudah bagus, tetapi tolong di buat lebih stabil lagi. Karna kalau bertemu musuh yang banyak di suatu tempat suka frame bahkan DC/keluar dari game.. Apa lagi untuk device android, walaupun device sudah mumpuni tetapi masih suka frame drop, dengan jaringan yang sudah bagus.;3
Sekarang sering banget ngebug nya, udah sprint juga tetap lambat jalannya, ga 1 atau 2 kali aja, tapi sering banget, terus saya relog juga terkadang kembali normal lagi terkadang tetap sama, sprint malah jalan kayak bot, berat banget pergerakannya, tolong diperbaiki secepatnya.;1
"Update oke banget, event lama beneran balik lagi. Cuma ini gatau cuma aku atau yang lainnya kena tapi disini aku ketemu masalah. Setiap kali buka shop, lobby dan inventory, bahkan semua elemen lobby jadi patah"" dan fps drop banget sampe paling rendah. Tolong di perbaiki dong atau mungkin penyesuaian. Device: infinix hot 10s";3
Maaf developer pubg ini updatetan dino sekarang ini makin banyak bug updatetan sebelumnya tidak seperti itu Saya juga sudah beberapa kali menghapus map yang sering sekali ngebug seperti metro royale. Jadi mohon diatasi masalah ini .untuk gamenya sih sangat direcommend bgt buat game tema battle royale. Jadi ini saja permintaan dan nilai dari saya sekian terima kasih.;4
ada beberapa yang harus diperbaiki 1. bug ketika mati tdk bisa spectate teman, tampilan hanya diam ditempat saja 2. bug fitur recall teman yang sedang mati, teman yg di recall selalu saja ngebug, bisa bangkit lagi tapi pemainnya ga bisa ngapa2in diam ditempat;5
"Perbaiki masalah jaringan terutama di dalam game, ketika sedang bermain tiba² ""SERVER TIDAK MERESPON, SILAHKAN COBA LAGI"" Setiap match selalu begitu, kadang sedang perang di luar selalu muncul notif begitu alhasil tiba² knock dan mati, perbaiki masalah jaringan, sudah menggunakan Wi-Fi masih lag, blok";1
Seru sih seru. Tapi kenapa ya waktu main, ada aja tiba² frame, langsung mental keluar dari game? Untungnya masih bisa lanjut si, tapi repot juga kalau pas lagi ada musuh pasti mati kita. Mana waktu relog nya lumayan makan waktu ??. Masalahnya dimana nih?. Padahal sinyal bagus² aja, chace udh dibersihkan juga.;4
